지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵쇼핑몰내 1층)",메가박스중앙(주) 상암월드컵경기장지점 5관,,
서울특별시 서초구 반포동 19-3 센트럴시티 지하1층,"서울특별시 서초구 신반포로 176 (반포동,센트럴시티 지하1층)",메가박스중앙(주) 센트럴 더부티크 104호,200250.4478,444683.2205
서울특별시 영등포구 영등포동 618-496 외 12필지,"서울특별시 영등포구 경인로 846, A동 7~9층 (영등포동, 롯데백화점 영등포점)",롯데시네마 영등포 2관,191741.3458,445970.3076
서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),메가박스중앙(주) 상봉지점 7관,206526.0022,454549.1674
서울특별시 영등포구 영등포동 618-496 외 12필지,"서울특별시 영등포구 경인로 846, A동 7~9층 (영등포동, 롯데백화점 영등포점)",롯데시네마 영등포 3관,191741.3458,445970.3076
서울특별시 양천구 목동 917-6 행복한세상백화점 7층,"서울특별시 양천구 목동동로 309 (목동,행복한세상백화점 7층)",메가박스중앙(주) 목동지점 COMFORT 6관,188977.1711,447466.355
서울특별시 영등포구 여의도동 23,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",CGV여의도 5관 [CGV아트하우스],193326.931,446973.9146
서울특별시 영등포구 여의도동 23,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",CGV여의도 6관,193326.931,446973.9146
서울특별시 영등포구 여의도동 23,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",CGV여의도 4관[COMFORT SEAT],193326.931,446973.9146
서울특별시 중구 을지로6가 18-21 굿모닝시티,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",메가박스중앙(주) 동대문점 8관,200573.6413,451621.0365
서울특별시 영등포구 여의도동 23,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",CGV여의도 3관(VeatBox관),193326.931,446973.9146
서울특별시 중구 을지로6가 18-21 굿모닝시티,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",메가박스중앙(주) 동대문점 5관,200573.6413,451621.0365
서울특별시 영등포구 여의도동 23,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",CGV여의도 2관,193326.931,446973.9146
서울특별시 중구 을지로6가 18-21 굿모닝시티,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",메가박스중앙(주) 동대문점 4관,200573.6413,451621.0365
서울특별시 영등포구 여의도동 23,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",CGV여의도 1관,193326.931,446973.9146
